BookName,Category,Summary,Author
Fragments of the Lost,Crime,From the New York Times bestselling author of All the Missing Girls and The Perfect Stranger comes a suspenseful psychological mystery about one girl's search to uncover the truth behind her ex-boyfriend's death. ,Megan Miranda*
City of Lies,Crime,Elizabeth Miles scours 1920’s Washington  D.C. for a killer in the first Counterfeit Lady novel from the author of the New York Times bestselling Gaslight mysteries. Every woman plays a part—but some are more dangerous than others…,Victoria Thompson
Manhunt ,Crime,From the No. 1 bestselling author of the Logan McRae series  comes a standalone spinoff featuring DS Roberta Steel Sergeant Roberta Steel has recently been demoted,James Patterson*
The Other Twin,Crime,When India falls to her death from a bridge over a railway  her sister Poppy returns home to Brighton for the first time in years. Unconvinced by official explanations,L.V. Hay 
Now We Are Dead,Crime,Michael Bennett  be grateful you're alive. Someone attacked the Thanksgiving Day Parade directly in front of Michael Bennett and his family. ,Stuart MacBride 
Edge of Darkness,Crime,The fourth and final book in Karen Rose's nail-biting Cincinnati Series revisits your favourite characters battling crime in the city's dark underbelly,Karen Rose
No Saints in Kansas,Crime,A gripping reimagining of Truman Capote’s In Cold Blood and the brutal murders that inspired it November is usually quiet in Holcomb  Kansas  but in 1959 ,Amy Brashear
Final Fall,Crime,Mori is out for revenge. Imprisoned in the English countryside  with her brothers held as leverage  she’s never felt angrier or more helpless. ,Heather W. Petty
Consent,Crime,When Gabriel broke down my door  he took over my body and life. Never with force  but always with clever manipulation. ,Charmaine Pauls
Hell to Pay,Crime,When a road traffic accident on a dark autumn night uncovers a disturbing conspiracy  ,Rachel Amphlett
The Birthday Girl,Crime,Dear Carys  Zoe and Andrea Come and join me for my fortieth birthday adventure weekend  full of mysteries and surprises the like of which you can’t imagine.,Sue Fortin
Red Russia,Crime,Among the many things Peter doesn’t know  he doesn’t know he’s an archetype  the Prince of Coins incarnate. He doesn’t know his fiancé is a fortune teller either,Tanya Thompson 
Her Best Friend,Crime,Two girls. A murder. And a secret that binds them forever. As a teenager  Sylvie Armstrong’s life was shattered when her best friend  ,Sarah Wray 
The Ghosts of Galway,Crime,Jack Taylor is recovering from a mistaken medical diagnosis and a failed suicide attempt. In need of money  and with former cop on his resume ,Ken Bruen
Dying Breath,Crime,Take a breath. Pray it’s not your last. Just a few months after a terrifying case that nearly took her life  Detective Lucy Harwin is back with her squad in the coastal town,Helen Phifer
Alte Geister ruhen unsanft,Crime,Aus dem Streit wurde Schweigen. Aus Tagen wurden Monate. Aus Monaten wurden Jahre. Aus der verschworenen Bande wurden Fremde und Erwachsene,Thomas Brezina
A Line in the Dark,Crime,The line between best friend and something more is a line always crossed in the dark. Jess Wong is Angie Redmond’s best friend.,Malinda Lo
The Hanging Girl,Crime,Skye Thorn has given tarot card readings for years  and now her psychic visions are helping the police find the town’s missing golden girl.,Eileen Cook
Righteous,Crime,In this hotly anticipated follow-up to the smash hit IQ  Isaiah uncovers a secret behind the death of his brother  Marcus.,Joe Ide
Little Secrets,Crime,What happens when ambition trumps the truth? A town reeling in the wake of tragedy An arsonist is on the loose in Colmstock  Australia  ,Anna Snoekstra
Rosemarked,Romance,A healer who cannot be healed . . . When Zivah falls prey to the deadly rose plague  she knows it’s only a matter of time before she fully succumbs.,Livia Blackburne
The Austen Escape,Romance,After years of following her best friend’s lead  Mary Davies finds a whimsical trip back to Austen’s Regency England paves the way towards a new future.,Katherine Reay
Someone to Wed,Romance,A very practical marriage makes Alexander Westcott question his heart in the latest Regency romance from the New York Times bestselling author of Someone to Hold.,Mary Balogh 
Van ,Romance,Score one for the Carolina Cold Fury hockey team as a stone-cold badass melts for a woman who makes his blood run hot. As one of the league’s toughest enforcers ,Sawyer Bennett
Wish You Were Mine,Romance,Five years. I would’ve stayed away longer if I hadn’t received the letter. Not a day has gone by that I haven’t thought about her  haven’t missed her smile  haven’t wished that things were different,Tara Sivec
Darker,Romance,E L James revisits the world of Fifty Shades with a deeper and darker take on the love story that has enthralled millions of readers around the globe. ,E.L. James
An Ex for Christmas,Romance,She’s making a list—and checking it twice. But is there a nice guy among all her naughty exes? The New York Times bestselling author of Blurred Lines returns with a charming friends,Lauren Layne
The Brightest Embers,Romance,You can run from your destiny  but you can't hide Ivy thought that she and Adrian had conquered their fates. Yet with thousands of innocents still trapped in the demon realms,Jeaniene Frost
The Speaker,Romance,Having barely escaped the clutches of the Guard  Sefia and Archer are back on the run  slipping into the safety of the forest to tend to their wounds and plan their next move,Traci Chee
The November Girl,Romance,A November Goodreads Best Book of the Month!** I am Anda  and the lake is my mother. I am the November storms that terrify sailors and sink ships,Lydia Kang
Most Eligible Bastard,Romance,He’s a powerful billionaire CEO who built the family business into an empire. The money doesn’t matter to him  but the company is his life. ,Annika Martin
The Complete Sookie Stackhouse Stories,Romance,For the first time together in one volume  the complete short story collection starring Sookie Stackhouse—with a new introduction from the #1 New York Times bestselling author of the series ,Charlaine Harris*
No Other Duke Will Do,Romance,Julian St. David  Duke of Haverford  is barely keeping his head above water in a sea of inherited debts. Though he has a long-term plan to restore the family finances,Grace Burrowes
Not Now  Not Ever,Romance,The sequel to The Only Thing Worse than Me Is You  inspired by The Importance of Being Earnest. Elliot Gabaroche is very clear on what she isn't going to do this summer.,Lily Anderson
Enchant,Romance,Mara Pryce never imagined that her life was anything but normal and then a strange gray-eyed young man appears at her graduation. When he vanishes without a trace  she’s convinced he’s a figment of her imagination,Micalea Smeltzer
Kids Like Us,Romance,Martin is an American teen on the autism spectrum living in France with his mom and sister for the summer. ,Hilary Reyl
Run Away With Me,Romance,Emerson Lowe and popular ice-hockey player Jake McCallister have been best friends since third grade but just as their friendship starts to morph into something more  a terrible event occurs,Mila Gray 
Ruin You,Romance,Simon The only thing that stands in the way of my revenge is her. The lying scheming daughter of the man who killed my parents. She has the secrets I need to bring down her father.,Molly O'Keefe
Deja New,Romance,The New York Times bestselling author of the Undead Novels takes on reincarnation in this unforgettable Insighter Novel about the pitfalls in past—and love—lives…,MaryJanice Davidson
Siege of Shadows ,Romance,There’s nowhere to hide. Not when you’re an Effigy. No matter where they go  Maia and the other Effigies can’t escape the eyes of the press,Sarah Raughley*
Prairie Fires,Biography,The first comprehensive historical biography of Laura Ingalls Wilder  the beloved author of the Little House on the Prairie book series Millions of readers of Little House,Caroline Fraser 
The Art of Misdiagnosis,Biography,Award-winning novelist and poet Gayle Brandeis's wrenching memoir of her complicated family history and her mother's suicide Gayle Brandeis's mother disappeared,Gayle Brandeis
Mean,Biography,Myriam Gurba's debut is the bold and hilarious tale of her coming of age as a queer mixed-race Chicana. Blending radical formal fluidity and caustic humor,Myriam Gurba
The Mayflower:,Biography,Rebecca Fraser's book about the Mayflower sheds new light on a family caught up in all the perils of crossing the ocean and settling in the wilderness.,Rebecca Fraser
Growing Up Fisher,Biography,Actress director entertainer Joely Fisher invites readers backstage into the intimate world of her career and family with this touching  down-to-earth memoir filled with incredible candid stories ,Joely Fisher 
Becoming Hitler,Biography,An award-winning historian charts Hitler's radical transformation after World War I from a directionless loner into a powerful National Socialist leader In Becoming Hitler,Mark K. Updegrove
Grant,Biography,Pulitzer Prize-winner and biographer of Alexander Hamilton George Washington  and John D. Rockefeller  Ron Chernow returns with a sweeping and dramatic portrait ,Ron Chernow
Leonardo da Vinci,Biography,The author of the acclaimed bestsellers Steve Jobs  Einstein  and Benjamin Franklin brings Leonardo da Vinci to life in this exciting new biography,Walter Isaacson
Code Girls,Biography,In the tradition of Hidden Figures and The Girls of Atomic City  Code Girls is the astonishing  untold story of the young American women who cracked key Axis codes,Liza Mundy 
Endurance,Biography,A stunning memoir from the astronaut who spent a record-breaking year aboard the International Space Station--a candid account of his remarkable voyage,Scott Kelly 
Voice Lessons,Biography,Voice Lessons is the story of Cara and Idina - a real-life Anna and Elsa story that will be familiar to every woman with a big sister and a must-read for Idina Menzel fans,Cara Mentzel
Marco Hietala,Biography,The Pioneer's Rude Story of Finnish Iron Metal. Marco is the bassist-soloist of Nightwish's most internationally successful band in Finland,Timo Kangasluoma 
Mama Africa!,Biography,Miriam Makeba  a Grammy Award–winning South African singer  rose to fame in the hearts of her people at the pinnacle of apartheid?a brutal system of segregation similar to American Jim Crow laws,Kathryn Erskine 
The Lost Founding Father,Biography,Why has John Quincy Adams been largely written out of American history when he is  in fact  our lost Founding Father? ,William J. Cooper Jr. 
Becoming Myself,Biography,Bestselling writer and psychotherapist Irvin D. Yalom puts himself on the couch in a lapidary memoirIrvin D. Yalom has made a career of investigating the lives of others.,Irvin D. Yalom 
Sticky Fingers,Biography,A delicious romp through the heyday of rock and roll and a revealing portrait of the man at the helm of the iconic magazine that made it all possible,Joe Hagan 
The Apparitionists,Biography,"""A rare work of historical nonfiction that is both studious and just plain entertaining.""—Publishers Weekly  Top Ten Books of 2017 ""An exceptional story""—Errol Morris ",Peter Manseau
The Ghost,Biography,"The best book ever written about the strangest CIA chief who ever lived."" - Tim Weiner  National Book Award-winning author of Legacy of Ashes A revelatory",Jefferson Morley
Literary Witches,Biography,Celebrate the witchiest women writers with beautiful illustrations and imaginative vignettes. Literary Witches draws a connection between witches and visionary writers,Taisia Kitaiskaia
Nine Continents,Biography,Xiaolu Guo is one of the most acclaimed Chinese-born writers of her generation  an iconoclastic and completely contemporary voice. ,Xiaolu Guo 
Artemis,Fiction,Jazz Bashara is a criminal. Well  sort of. Life on Artemis  the first and only city on the moon  is tough if you're not a rich tourist or an eccentric billionaire,Andy Weir
Bonfire,Fiction,Should you ever go back? It has been ten years since Abby Williams left home and scrubbed away all visible evidence of her small town roots. ,Krysten Ritter
The City of Brass ,Fiction,Nahri has never believed in magic. Certainly  she has power; on the streets of 18th century Cairo  she’s a con woman of unsurpassed talent. ,S.A. Chakraborty
Future Home of the Living God,Fiction,The world as we know it is ending. Evolution has reversed itself  affecting every living creature on earth. ,Louise Erdrich
Little Broken Things,Fiction,“If you liked Big Little Lies  you’ll want to crack open this new novel by Nicole Baart.” —Southern Living“Steeped in menace  Baart’s latest is a race-to-the-finish family drama.”,Nicole Baart
Beasts of Extraordinary Circumstance,Fiction,"""Exquisite and adventurous"" -- Bustle  ""11 New Fiction Books You Need"" Orphaned  raised by wolves  and the proud owner of a horned pig named Merlin  Weylyn Grey knew he wasn’t like other people",Ruth Emmie Lang
The Revolution of Marina M.,Fiction,From the mega-bestselling author of White Oleander and Paint It Black  a sweeping historical saga of the Russian Revolution  as seen through the eyes of one young woman,Janet Fitch
The Story of Arthur Truluv,Fiction,An elderly family friend commissions Frances to find Helen  a stunningly beautiful actress who vanished 30 years ago. Taking on the role of the Lady Sherlock  with her loyal maid Mallow drafted as her Watson ,Elizabeth Berg 
The Whispering Room,Fiction,Jane Hawk--fiction's most relentless  resourceful  stunning new heroine--continues her battle against a murderous conspiracy in the riveting sequel to The Silent Corner,Dean Koontz
Heather  the Totality,Fiction,The Breakstone family arrange themselves around their daughter Heather  and the world seems to follow: beautiful  compassionate  entrancing  she is the greatest blessing in their lives of Manhatta,Matthew Weiner
Fragments of the Lost,Fiction,From the New York Times bestselling author of All the Missing Girls and The Perfect Stranger comes a suspenseful psychological mystery about one girl's search to uncover the truth,Megan Miranda
The Magic Misfits ,Fiction,From beloved award-winning actor  Neil Patrick Harris  comes the magical first book in a new series with plenty of tricks up its sleeve.,Neil Patrick Harris 
Here We Are Now,Fiction,Despite sending him letters ever since she was thirteen  Taliah Abdallat never thought she'd ever really meet Julian Oliver. But one day  while her mother is out of the country,Jasmine Warga
Seduction,Fiction,Willa Knight: Dweller? Sol? Accidental evolutionary hiccup? Willa has never been a particularly useful dweller: she isn’t very good at chores  ,Jaymin Eve
Insurrection,Fiction,Intercepted Broadcast 2190 The virus ran swiftly on the hot summer breeze. Unseen. Unheard. Unknown. It swept through the entire earth in a matter of months  having mercy on no one.,Sherrilyn Kenyon
The November Girl,Fiction,A November Goodreads Best Book of the Month!** I am Anda  and the lake is my mother. I am the November storms that terrify sailors and sink ships,Lydia Kang
The Passion of Cleopatra ,Fiction,From the iconic and bestselling author of The Mummy and The Vampire Chronicles  a mesmerizing  glamorous new tale of ancient feuds and modern passions. ,Anne Rice 
Into the Drowning Deep,Fiction,Seven years ago  the Atargatis set off on a voyage to the Mariana Trench to film a “mockumentary” bringing to life ancient sea creatures of legend,Mira Grant 
The Austen Escape,Fiction,After years of following her best friend’s lead  Mary Davies finds a whimsical trip back to Austen’s Regency England paves the way towards a new future.,Katherine Reay
Kat and Meg Conquer the World,Fiction,For fans of Nicola Yoon’s Everything  Everything  Emery Lord’s When We Collided  and Rainbow Rowell’s Fangirl  Anna Priemaza’s debut ,Anna Priemaza
Into the Drowning Deep,Horror,Seven years ago  the Atargatis set off on a voyage to the Mariana Trench to film a “mockumentary” bringing to life ancient sea creatures of legend. It was lost at sea with all hands.,Mira Grant 
The Passion of Cleopatra ,Horror,From the iconic and bestselling author of The Mummy and The Vampire Chronicles  a mesmerizing  glamorous new tale of ancient feuds and modern passions,Anne Rice 
Alone,Horror,When her mom inherits an old  crumbling mansion  Seda’s almost excited to spend the summer there. The grounds are beautiful and it’s fun to explore the sprawling house with its creepy rooms,Cyn Balog 
After the End of the World,Horror,The second installment in a thrilling supernatural series that brings the H.P. Lovecraft mythos into the twenty-first century  optioned by Warner Bros TV,Jonathan L. Howard
This World is Full of Monsters,Horror,An alien invasion comes to one man’s doorstep in the form of a story-creature  followed by death and rebirth in a transformed Earth,Jeff VanderMeer
Devil in Ohio,Horror,A strange  damaged girl lives with a family after escaping a cult in this debut YA suspense/thriller that was inspired by true events. ,Daria Polatin
Penny Dreadful: The Awaking,Horror,Set six months after the shocking events of the Penny Dreadful season three TV finale. Written by Penny Dreadful TV series Co-Executive Producer Chris King.,Chris King
Regression  Vol. 1,Horror,Plagued by ghastly waking nightmares  Adrian reluctantly agrees to past life regression hypnotherapy. As his consciousness is cast back through time,Cullen Bunn
Extinction War,Horror,The seventh and never-before-published book in USA Today bestselling Nicholas Sansbury Smith's propulsive post-apocalyptic series about a soldier's mission to save the world.An army advances...In Europe  ,Nicholas Sansbury Smith
Demon  Volume 4,Horror,Immortal actuary Jimmy makes a startling discovery: Agent Hunter  his long-dead adversary  is actually alive and a demon himself!,Jason Shiga 
When all the days have gone,Horror,When he is handed a collection of letters written by his predecessor  a gravedigger is rapidly immersed in a strange indeterminate narrative  that seems to overflow with mysterious characters ,Lars Boye Jerlach
Hellwalkers,Horror,In the third and final book of Alexander Gordon Smith's Devil's Engine series  Marlow and Pan are in hell. Literally in hell. Faced with the awful truth of being trapped,Alexander Gordon Smith
Strange Weather,Horror,A collection of four chilling novels  ingeniously wrought gems of terror from the brilliantly imaginative  #1 New York Times bestselling author of The Fireman  Joe Hill “Snapshot,Joe Hill
Before the Devil Breaks You,Horror,New York City. 1927. Lights are bright. Jazz is king. Parties are wild. And the dead are coming... After battling a supernatural sleeping sickness that early claimed two of their own,Libba Bray
